objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,color,monochromatic,format,camera,accessmode,edits,original,style
coll001,001_peeking.jpeg,,,Peeking,Rebecca Zarrella,2010-06-17,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",nature;plants;flowers,"Frederick, MD",39.3254812,-77.256722,Original,1,Image;StillImage,image/jpeg,eng,,,pink;purple;white,,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll002,002_morninglight.jpeg,,,Morning Light,Rebecca Zarrella,2010-12-03,,nature;plants;flowers,"Frederick, MD",39.3254812,-77.256722,Original,2,Image;StillImage,image/jpeg,eng,,,yellow;white;green,,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll003,003_fallen.jpeg,,,Fallen,Rebecca Zarrella,2010-03-21,,nature;plant;fruit,"Frederick, MD",39.3254812,-77.256722,Original,3,Image;StillImage,image/jpeg,eng,,,red,,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll004,004_blossoms.jpeg,,,Blossoms,Rebecca Zarrella,2010-04-01,,nature;plants;flowers,"Frederick, MD",39.3254812,-77.256722,Original,4,Image;StillImage,image/jpeg,eng,,,white;yellow,,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll005,005_somethingold.jpeg,,,Something Old,Rebecca Zarrella,2011-04-13,,,"Frederick, MD",39.3254812,-77.256722,Original,5,Image;StillImage,image/jpeg,eng,,,red;white,,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll006,006_octo.jpeg,,,Octo,Rebecca Zarrella,2011-03-14,,animals;wild;underwater,"Baltimore, MD",39.2855643,-76.6085012,Original,6,Image;StillImage,image/jpeg,eng,,,pink;purple,,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll007,007_cling.jpeg,,,Cling,Rebecca Zarrella,2011-02-13,,animals;insects;moths,"Frederick, MD",39.3254812,-77.256722,Original,7,Image;StillImage,image/jpeg,eng,,,brown;black,,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll008,008_clingii.jpeg,,,Cling II,Rebecca Zarrella,2011-02-13,,animals;insects;moths,"Frederick, MD",39.3254812,-77.256722,Original,8,Image;StillImage,image/jpeg,eng,,,black;white,monochromatic,.jpeg,canonpowershotsd750,visual,paintshoppro8,,
coll009,009_teddy.jpeg,,,Teddy,Rebecca Zarrella,2020-05-22,,animals;domesticated;dogs,"Clarksburg, MD",39.2351223,-77.2513392,Original,9,Image;StillImage,image/jpeg,eng,,,brown,,.jpeg,canoneosrebelt5i,visual,adobelightroom,,
coll010,010_blurrychristmas.jpeg,,,Blurry Christmas,Rebecca Zarrella,2020-11-11,,,"Clarksburg, MD",39.2351223,-77.2513392,Original,10,Image;StillImage,image/jpeg,eng,,,red;blue;green,,.jpeg,canoneosrebelt5i,visual,adobelightroom,,
